"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	554	4430141	12.5
	"Alabama"	"01"	"2000"	"2000"	582	4447100	13.1
	"Alabama"	"01"	"2001"	"2001"	512	4467634	11.5
	"Alabama"	"01"	"2002"	"2002"	513	4480089	11.5
	"Alabama"	"01"	"2003"	"2003"	520	4503491	11.5
	"Alabama"	"01"	"2004"	"2004"	541	4530729	11.9
	"Alabama"	"01"	"2005"	"2005"	535	4569805	11.7
	"Alabama"	"01"	"2006"	"2006"	579	4628981	12.5
	"Alabama"	"01"	"2007"	"2007"	592	4672840	12.7
	"Alabama"	"01"	"2008"	"2008"	602	4718206	12.8
	"Alabama"	"01"	"2009"	"2009"	673	4757938	14.1
	"Alabama"	"01"	"2010"	"2010"	679	4779736	14.2
	"Alabama"	"01"	"2011"	"2011"	654	4802740	13.6
	"Alabama"	"01"	"2012"	"2012"	724	4822023	15.0
	"Alabama"	"01"	"2013"	"2013"	720	4833722	14.9
	"Alabama"	"01"	"2014"	"2014"	714	4849377	14.7
	"Alabama"	"01"	"2015"	"2015"	750	4858979	15.4
	"Alabama"	"01"	"2016"	"2016"	788	4863300	16.2
	"Alabama"	"01"	"2017"	"2017"	835	4874747	17.1
	"Alabama"	"01"	"2018"	"2018"	823	4887871	16.8
	"Alabama"	"01"	"2019"	"2019"	804	4903185	16.4
	"Alabama"	"01"	"2020 "	"2020"	793	4921532	16.1
"Total"	"Alabama"	"01"			14487	103604166	14.0
	"Alaska"	"02"	"1999"	"1999"	96	624779	15.4
	"Alaska"	"02"	"2000"	"2000"	137	626932	21.9
	"Alaska"	"02"	"2001"	"2001"	101	633714	15.9
	"Alaska"	"02"	"2002"	"2002"	132	642337	20.5
	"Alaska"	"02"	"2003"	"2003"	124	648414	19.1
	"Alaska"	"02"	"2004"	"2004"	155	659286	23.5
	"Alaska"	"02"	"2005"	"2005"	131	666946	19.6
	"Alaska"	"02"	"2006"	"2006"	135	675302	20.0
	"Alaska"	"02"	"2007"	"2007"	149	680300	21.9
	"Alaska"	"02"	"2008"	"2008"	169	687455	24.6
	"Alaska"	"02"	"2009"	"2009"	143	698895	20.5
	"Alaska"	"02"	"2010"	"2010"	164	710231	23.1
	"Alaska"	"02"	"2011"	"2011"	143	722718	19.8
	"Alaska"	"02"	"2012"	"2012"	168	731449	23.0
	"Alaska"	"02"	"2013"	"2013"	170	735132	23.1
	"Alaska"	"02"	"2014"	"2014"	167	736732	22.7
	"Alaska"	"02"	"2015"	"2015"	201	738432	27.2
