"","notes","state","state_code","gender","gender_code","ten_year_age_groups","ten_year_age_groups_code","year","year_code","race","race_code","deaths","population","crude_rate","race_total","state_total","state_rate","total_by_age"
"1",NA,"Alabama","01","Female","F","15-24 years","15-24","1999",1999,"White","2106-3",12,206268,"Unreliable",24897,509,0.00246766342816142,3496
"2",NA,"Alabama","01","Female","F","15-24 years","15-24","2009",2009,"White","2106-3",10,216957,"Unreliable",32257,616,0.00283927229819734,3896
"3",NA,"Alabama","01","Female","F","15-24 years","15-24","2012",2012,"White","2106-3",10,216088,"Unreliable",35527,669,0.00309596090481656,4388
"4",NA,"Alabama","01","Female","F","15-24 years","15-24","2013",2013,"White","2106-3",11,214932,"Unreliable",35941,666,0.00309865445815421,4352
"5",NA,"Alabama","01","Female","F","15-24 years","15-24","2014",2014,"White","2106-3",11,213391,"Unreliable",37522,671,0.0031444625124771,4556
"6",NA,"Alabama","01","Female","F","15-24 years","15-24","2015",2015,"White","2106-3",17,210172,"Unreliable",38624,697,0.00331633138572217,4942
"7",NA,"Alabama","01","Female","F","15-24 years","15-24","2016",2016,"White","2106-3",10,206805,"Unreliable",38912,753,0.00364111119170233,5137
"8",NA,"Alabama","01","Female","F","15-24 years","15-24","2017",2017,"White","2106-3",10,205648,"Unreliable",40938,766,0.00372481132809461,5650
"9",NA,"Alabama","01","Female","F","15-24 years","15-24","2018",2018,"White","2106-3",19,204644,"Unreliable",41662,767,0.00374797208811399,5601
"10",NA,"Alabama","01","Female","F","15-24 years","15-24","2019",2019,"White","2106-3",12,204318,"Unreliable",40819,738,0.00361201656241741,5333
"11",NA,"Alabama","01","Female","F","15-24 years","15-24","2020 ",2020,"White","2106-3",18,204811,"Unreliable",38983,735,0.00358867443643164,5470
"12",NA,"Alabama","01","Female","F","25-34 years","25-34","1999",1999,"White","2106-3",12,215681,"Unreliable",24897,509,0.00235996680282454,4624
"13",NA,"Alabama","01","Female","F","25-34 years","25-34","2000",2000,"White","2106-3",18,212327,"Unreliable",25113,543,0.0025573761226787,4343
"14",NA,"Alabama","01","Female","F","25-34 years","25-34","2002",2002,"White","2106-3",18,203187,"Unreliable",27318,460,0.0022639243652399,4667
"15",NA,"Alabama","01","Female","F","25-34 years","25-34","2003",2003,"White","2106-3",12,201956,"Unreliable",27103,460,0.00227772386064291,4632
"16",NA,"Alabama","01","Female","F","25-34 years","25-34","2004",2004,"White","2106-3",10,201299,"Unreliable",27918,471,0.00233980297964719,4616
"17",NA,"Alabama","01","Female","F","25-34 years","25-34","2005",2005,"White","2106-3",16,200791,"Unreliable",28159,492,0.00245030902779507,4545
"18",NA,"Alabama","01","Female","F","25-34 years","25-34","2006",2006,"White","2106-3",13,201787,"Unreliable",28778,537,0.00266122198159445,4527
"19",NA,"Alabama","01","Female","F","25-34 years","25-34","2007",2007,"White","2106-3",15,201731,"Unreliable",30135,540,0.00267683201887662,4855
"20",NA,"Alabama","01","Female","F","25-34 years","25-34","2008",2008,"White","2106-3",15,202361,"Unreliable",31355,550,0.00271791501326837,4824
"21",NA,"Alabama","01","Female","F","25-34 years","25-34","2009",2009,"White","2106-3",16,203918,"Unreliable",32257,616,0.0030208220951559,4844
"22",NA,"Alabama","01","Female","F","25-34 years","25-34","2010",2010,"White","2106-3",18,204528,"Unreliable",33536,629,0.00307537354298678,5330
"23",NA,"Alabama","01","Female","F","25-34 years","25-34","2011",2011,"White","2106-3",17,206377,"Unreliable",34596,596,0.00288791871187196,5591
"24",NA,"Alabama","01","Female","F","25-34 years","25-34","2012",2012,"White","2106-3",13,206788,"Unreliable",35527,669,0.00323519740023599,5740
"25",NA,"Alabama","01","Female","F","25-34 years","25-34","2013",2013,"White","2106-3",13,207617,"Unreliable",35941,666,0.00320782980199117,5865
"26",NA,"Alabama","01","Female","F","25-34 years","25-34","2014",2014,"White","2106-3",17,209459,"Unreliable",37522,671,0.00320349089798003,6114
"27",NA,"Alabama","01","Female","F","25-34 years","25-34","2015",2015,"White","2106-3",22,211621,"10.4",38624,697,0.00329362397871667,6428
"28",NA,"Alabama","01","Female","F","25-34 years","25-34","2016",2016,"White","2106-3",20,212894,"9.4",38912,753,0.00353697145058104,6800
"29",NA,"Alabama","01","Female","F","25-34 years","25-34","2017",2017,"White","2106-3",17,212962,"Unreliable",40938,766,0.00359688582939679,7393
"30",NA,"Alabama","01","Female","F","25-34 years","25-34","2018",2018,"White","2106-3",18,212816,"Unreliable",41662,767,0.00360405232689271,7448
"31",NA,"Alabama","01","Female","F","25-34 years","25-34","2019",2019,"White","2106-3",18,213270,"Unreliable",40819,738,0.00346040230693487,7544
"32",NA,"Alabama","01","Female","F","25-34 years","25-34","2020 ",2020,"White","2106-3",16,214014,"Unreliable",38983,735,0.00343435476183801,7887
"33",NA,"Alabama","01","Female","F","35-44 years","35-44","1999",1999,"White","2106-3",23,249564,"9.2",24897,509,0.002039556987386,6120
"34",NA,"Alabama","01","Female","F","35-44 years","35-44","2000",2000,"White","2106-3",33,248709,"13.3",25113,543,0.00218327442915214,6232
"35",NA,"Alabama","01","Female","F","35-44 years","35-44","2001",2001,"White","2106-3",23,245601,"9.4",26262,458,0.0018648132540177,6198
