"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"1999"	"1999"	"White"	"2106-3"	12	206268	Unreliable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"2009"	"2009"	"White"	"2106-3"	10	216957	Unreliable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"2012"	"2012"	"White"	"2106-3"	10	216088	Unreliable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"2013"	"2013"	"White"	"2106-3"	11	214932	Unreliable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"2014"	"2014"	"White"	"2106-3"	11	213391	Unreliable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"2015"	"2015"	"White"	"2106-3"	17	210172	Unreliable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"2016"	"2016"	"White"	"2106-3"	10	206805	Unreliable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"2017"	"2017"	"White"	"2106-3"	10	205648	Unreliable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"2018"	"2018"	"White"	"2106-3"	19	204644	Unreliable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"2019"	"2019"	"White"	"2106-3"	12	204318	Unreliable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"2020 "	"2020"	"White"	"2106-3"	18	204811	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"1999"	"1999"	"White"	"2106-3"	12	215681	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2000"	"2000"	"White"	"2106-3"	18	212327	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2002"	"2002"	"White"	"2106-3"	18	203187	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2003"	"2003"	"White"	"2106-3"	12	201956	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2004"	"2004"	"White"	"2106-3"	10	201299	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2005"	"2005"	"White"	"2106-3"	16	200791	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2006"	"2006"	"White"	"2106-3"	13	201787	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2007"	"2007"	"White"	"2106-3"	15	201731	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2008"	"2008"	"White"	"2106-3"	15	202361	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2009"	"2009"	"White"	"2106-3"	16	203918	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2010"	"2010"	"White"	"2106-3"	18	204528	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2011"	"2011"	"White"	"2106-3"	17	206377	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2012"	"2012"	"White"	"2106-3"	13	206788	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2013"	"2013"	"White"	"2106-3"	13	207617	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2014"	"2014"	"White"	"2106-3"	17	209459	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2015"	"2015"	"White"	"2106-3"	22	211621	10.4
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2016"	"2016"	"White"	"2106-3"	20	212894	9.4
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2017"	"2017"	"White"	"2106-3"	17	212962	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2018"	"2018"	"White"	"2106-3"	18	212816	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2019"	"2019"	"White"	"2106-3"	18	213270	Unreliable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"2020 "	"2020"	"White"	"2106-3"	16	214014	Unreliable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"1999"	"1999"	"White"	"2106-3"	23	249564	9.2
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2000"	"2000"	"White"	"2106-3"	33	248709	13.3
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2001"	"2001"	"White"	"2106-3"	23	245601	9.4
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2002"	"2002"	"White"	"2106-3"	26	241173	10.8
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2003"	"2003"	"White"	"2106-3"	15	236690	Unreliable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2004"	"2004"	"White"	"2106-3"	23	233451	9.9
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2005"	"2005"	"White"	"2106-3"	22	231670	9.5
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2006"	"2006"	"White"	"2106-3"	20	230972	8.7
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2007"	"2007"	"White"	"2106-3"	31	228870	13.5
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2008"	"2008"	"White"	"2106-3"	20	225810	8.9
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2009"	"2009"	"White"	"2106-3"	27	221942	12.2
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2010"	"2010"	"White"	"2106-3"	31	218975	14.2
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2011"	"2011"	"White"	"2106-3"	20	214663	9.3
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2012"	"2012"	"White"	"2106-3"	28	213202	13.1
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2013"	"2013"	"White"	"2106-3"	33	212735	15.5
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2014"	"2014"	"White"	"2106-3"	24	210863	11.4
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2015"	"2015"	"White"	"2106-3"	28	208137	13.5
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2016"	"2016"	"White"	"2106-3"	28	204588	13.7
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"2017"	"2017"	"White"	"2106-3"	26	203299	12.8
