,...1,date,text,id,link,retweets,likes,account,followers,like_ratio,retweet_ratio,interaction_ratio,...2,...14,...15,,gn
608,607,########,BeyoncÃ© is one of the defining artists of our era. Hereâ€™s a look back at her impressive career in the music industry. https://t.co/W8Mah30jnb,1.57E+18,https://twitter.com/Cosmopolitan/status/1571816407066476544,5,7,@Cosmopolitan,1577717,4.44E-06,3.17E-06,0.150442,NA,NA,NA,NA,C
771,770,########,Hereâ€™s Why Jennifer Aniston and Brad Pitt Skipped the #Emmys This Year https://t.co/9wWPryxKA4,1.57E+18,https://twitter.com/Cosmopolitan/status/1569479188779778048,5,16,@Cosmopolitan,1577717,1.01E-05,3.17E-06,0.150442,NA,NA,NA,NA,C
1301,1300,########,Blake Lively Posted a Poolside Bikini Pic and Tagged Ryan Reynolds https://t.co/I41bkz6w9D,1.56E+18,https://twitter.com/Cosmopolitan/status/1562767820416438272,0,7,@Cosmopolitan,1577717,4.44E-06,0,0.150442,NA,NA,NA,NA,C
1491,1490,########,"Um, Taylor Swift Was Almost Cast In 'Twilight: New Moon' https://t.co/huIU1JOglg",1.56E+18,https://twitter.com/Cosmopolitan/status/1560030347550670848,4,9,@Cosmopolitan,1577717,5.70E-06,2.54E-06,0.150442,NA,NA,NA,NA,C
1631,1630,########,A Comprehensive Argument in Favor of Moving for Your Partner https://t.co/DYfFui3WwT,1.56E+18,https://twitter.com/Cosmopolitan/status/1558151060308598784,0,1,@Cosmopolitan,1577717,6.34E-07,0,0.150442,NA,NA,NA,NA,GN
1971,1970,########,Send Your Person One of These Goodnight Texts to Basically Ensure They Dream About You Tonight https://t.co/VDSBwJIU2j,1.55E+18,https://twitter.com/Cosmopolitan/status/1552725269194104832,0,2,@Cosmopolitan,1577717,1.27E-06,0,0.150442,NA,NA,NA,NA,GN
2059,2058,########,Addison Rae Plays It Perfectly Cool for Hot Yoga https://t.co/fh2wscVvLY,1.55E+18,https://twitter.com/Cosmopolitan/status/1551673440695894016,0,5,@Cosmopolitan,1577717,3.17E-06,0,0.150442,NA,NA,NA,NA,C
2487,2486,########,Rihanna Wears a Sporty Balenciaga Look to Support A$AP Rocky in Portugal https://t.co/gXORll84AK,1.55E+18,https://twitter.com/Cosmopolitan/status/1546520784809639936,0,3,@Cosmopolitan,1577717,1.90E-06,0,0.150442,NA,NA,NA,NA,C
2680,2679,########,"Hi, You and Your Partner Need Matching Couple Braceletsâ€”Here Are the Cutest Ones https://t.co/oVS9o7N6kn",1.54E+18,https://twitter.com/Cosmopolitan/status/1544035603326681088,0,3,@Cosmopolitan,1577717,1.90E-06,0,0.150442,NA,NA,NA,NA,GN
2842,2841,########,Dakota Johnson Says No One Would've Filmed 'Fifty Shades' If They Knew What the Set Drama Entailed https://t.co/rR1kmtPDP3,1.54E+18,https://twitter.com/Cosmopolitan/status/1541875190719733760,1,10,@Cosmopolitan,1577717,6.34E-06,6.34E-07,0.150442,NA,NA,NA,NA,GN
